BootsName,BootsMaterial,BootsBrand,BootsType,BootsPosition
X Speedportal+,Speedskin,adidas,Speed,Attack
X Speedportal+,Speedskin,adidas,Speed,Attack
F50 Adizero,Synthetic,adidas,Speed,Attack
X Speedportal.1,Speedskin,adidas,Speed,Attack
Predator Accuracy.1 Low,Primeknit,adidas,Control,Midfield
X Speedportal+,Speedskin,adidas,Speed,Attack
X Speedportal+,Speedskin,adidas,Speed,Attack
X Speedportal.1,Speedskin,adidas,Speed,Attack
X Speedportal+,Speedskin,adidas,Speed,Attack
Predator Accuracy.1 Low,Primeknit,adidas,Control,Midfield
X Speedflow.1,Synthetic,adidas,Speed,Attack
X Speedportal+,Speedskin,adidas,Speed,Attack
X Speedportal.1,Speedskin,adidas,Speed,Attack
Predator Accuracy.1 Low,Primeknit,adidas,Control,Midfield
Copa Pure+,Fusionskin,adidas,Control,Midfield
Copa Pure.1,Fusionskin,adidas,Control,Midfield
Copa Pure.1,Fusionskin,adidas,Control,Midfield
X Speedportal+,Speedskin,adidas,Speed,Attack
Predator Accuracy.1,Primeknit,adidas,Control,Midfield
Copa Pure.1,Fusionskin,adidas,Control,Midfield
Copa Sense.1,K-Leather,adidas,Control,Midfield
X Ghosted.1,Synthetic,adidas,Speed,
X Speedportal+,Speedskin,adidas,Speed,Attack
X Speedportal+,Speedskin,adidas,Speed,Attack
X Speedflow+,,adidas,Speed,
X Speedportal.1,Speedskin,adidas,Speed,Attack
X Speedportal.1,Speedskin,adidas,Speed,Attack
Predator Accuracy.1 Low,Primeknit,adidas,Control,Midfield
X Speedportal.1,Speedskin,adidas,Speed,Attack
X Speedportal.1,Speedskin,adidas,Speed,Attack
Copa Pure.1,Fusionskin,adidas,Control,Midfield
Copa 20.1,Fusionskin,adidas,Control,Midfield
X Speedportal.1,Speedskin,adidas,Speed,Attack
Predator Freak.1 Low,,adidas,Control,
Copa Pure.1,Fusionskin,adidas,Control,Midfield
Predator Accuracy.1,Primeknit,adidas,Control,Midfield
